,Year,variable,value
0,1960,Total Native Population,169563585
1,1970,Total Native Population,193301033
2,1980,Total Native Population,212782940
3,1990,Total Native Population,228425624
4,2000,Total Native Population,250288425
5,2010,Total Native Population,269432814
6,2017,Total Native Population,281312807
7,2018,Total Native Population,282619586
8,2019,Total Native Population,284281198
9,2020,Total Native Population,285935811
10,2021,Total Native Population,287579569
11,2022,Total Native Population,289208461
12,2023,Total Native Population,290818238
13,2024,Total Native Population,292404816
14,2025,Total Native Population,293964768
15,2026,Total Native Population,295498659
16,2027,Total Native Population,297003906
17,2028,Total Native Population,298477290
18,2029,Total Native Population,299916095
19,2030,Total Native Population,301318195
20,2031,Total Native Population,302682220
21,2032,Total Native Population,304007616
22,2033,Total Native Population,305294661
23,2034,Total Native Population,306544446
24,2035,Total Native Population,307758415
25,2036,Total Native Population,308938615
26,2037,Total Native Population,310087484
27,2038,Total Native Population,311207411
28,2039,Total Native Population,312301170
29,2040,Total Native Population,313371626
30,2041,Total Native Population,314421914
31,2042,Total Native Population,315455621
32,2043,Total Native Population,316476327
33,2044,Total Native Population,317488433
34,2045,Total Native Population,318496544
35,2046,Total Native Population,319505278
36,2047,Total Native Population,320517465
37,2048,Total Native Population,321536915
38,2049,Total Native Population,322567467
39,2050,Total Native Population,323612411
40,2051,Total Native Population,324674386
41,2052,Total Native Population,325755406
42,2053,Total Native Population,326856823
43,2054,Total Native Population,327979412
44,2055,Total Native Population,329123368
45,2056,Total Native Population,330288747
46,2057,Total Native Population,331475080
47,2058,Total Native Population,332681599
48,2059,Total Native Population,333907254
49,2060,Total Native Population,335150382
50,1960,Total Foreign-Born Population,9729147
51,1970,Total Foreign-Born Population,9778000
52,1980,Total Foreign-Born Population,14079460
53,1990,Total Foreign-Born Population,19682004
54,2000,Total Foreign-Born Population,31133481
55,2010,Total Foreign-Born Population,39916875
56,2017,Total Foreign-Born Population,44406371
57,2018,Total Foreign-Born Population,45272325
58,2019,Total Foreign-Born Population,45987642
59,2020,Total Foreign-Born Population,46703291
60,2021,Total Foreign-Born Population,47418829
61,2022,Total Foreign-Born Population,48133493
62,2023,Total Foreign-Born Population,48846880
63,2024,Total Foreign-Born Population,49558592
64,2025,Total Foreign-Born Population,50269609
65,2026,Total Foreign-Born Population,50982523
66,2027,Total Foreign-Born Population,51691209
67,2028,Total Foreign-Born Population,52394717
68,2029,Total Foreign-Born Population,53092129
69,2030,Total Foreign-Born Population,53782535
70,2031,Total Foreign-Born Population,54465109
71,2032,Total Foreign-Born Population,55139093
72,2033,Total Foreign-Born Population,55803898
73,2034,Total Foreign-Born Population,56458964
74,2035,Total Foreign-Born Population,57103730
75,2036,Total Foreign-Born Population,57737697
76,2037,Total Foreign-Born Population,58360373
77,2038,Total Foreign-Born Population,58971293
78,2039,Total Foreign-Born Population,59570068
79,2040,Total Foreign-Born Population,60156347
80,2041,Total Foreign-Born Population,60729891
81,2042,Total Foreign-Born Population,61290494
82,2043,Total Foreign-Born Population,61838016
83,2044,Total Foreign-Born Population,62372426
84,2045,Total Foreign-Born Population,62893753
85,2046,Total Foreign-Born Population,63402169
86,2047,Total Foreign-Born Population,63897742
87,2048,Total Foreign-Born Population,64380713
88,2049,Total Foreign-Born Population,64851321
89,2050,Total Foreign-Born Population,65309790
90,2051,Total Foreign-Born Population,65756417
91,2052,Total Foreign-Born Population,66191649
92,2053,Total Foreign-Born Population,66615960
93,2054,Total Foreign-Born Population,67029895
94,2055,Total Foreign-Born Population,67434036
95,2056,Total Foreign-Born Population,67829128
96,2057,Total Foreign-Born Population,68215883
97,2058,Total Foreign-Born Population,68594991
98,2059,Total Foreign-Born Population,68967083
99,2060,Total Foreign-Born Population,69332673
