source,target,value
Africa,Alabama,28
Africa,Arizona,585
Africa,Arkansas,35
Africa,California,136
Africa,Colorado,165
Africa,Connecticut,87
Africa,Delaware,10
Africa,District of Columbia,1
Africa,Florida,309
Africa,Georgia,261
Africa,Idaho,224
Africa,Illinois,232
Africa,Indiana,126
Africa,Iowa,279
Africa,Kansas,192
Africa,Kentucky,482
Africa,Louisiana,15
Africa,Maine,52
Africa,Maryland,142
Africa,Massachusetts,140
Africa,Michigan,280
Africa,Minnesota,238
Africa,Mississippi,2
Africa,Missouri,254
Africa,Montana,85
Africa,Nebraska,44
Africa,Nevada,125
Africa,New Hampshire,77
Africa,New Jersey,41
Africa,New Mexico,42
Africa,New York,480
Africa,North Carolina,406
Africa,North Dakota,43
Africa,Ohio,385
Africa,Oklahoma,9
Africa,Oregon,85
Africa,Pennsylvania,301
Africa,Rhode Island,52
Africa,South Carolina,57
Africa,South Dakota,70
Africa,Tennessee,177
Africa,Texas,720
Africa,Utah,208
Africa,Vermont,64
Africa,Virginia,150
Africa,Washington,98
Africa,West Virginia,1
Africa,Wisconsin,66
East Asia,Alabama,4
East Asia,Arizona,58
East Asia,California,43
East Asia,Colorado,99
East Asia,Connecticut,5
East Asia,Florida,18
East Asia,Georgia,157
East Asia,Idaho,11
East Asia,Illinois,221
East Asia,Indiana,249
East Asia,Iowa,106
East Asia,Kansas,76
East Asia,Kentucky,107
East Asia,Louisiana,10
East Asia,Maryland,24
East Asia,Massachusetts,7
East Asia,Michigan,88
East Asia,Minnesota,292
East Asia,Missouri,51
East Asia,Nebraska,136
East Asia,New Hampshire,16
East Asia,New Jersey,5
East Asia,New York,191
East Asia,North Carolina,161
East Asia,Ohio,36
East Asia,Oklahoma,58
East Asia,Oregon,64
East Asia,Pennsylvania,28
East Asia,South Carolina,12
East Asia,South Dakota,23
East Asia,Tennessee,37
East Asia,Texas,373
East Asia,Utah,29
East Asia,Vermont,3
East Asia,Virginia,4
East Asia,Washington,60
East Asia,Wisconsin,232
Europe,Alaska,22
Europe,Arizona,1
Europe,Arkansas,8
Europe,California,562
Europe,Colorado,17
Europe,Connecticut,7
Europe,Florida,63
Europe,Georgia,14
Europe,Idaho,30
Europe,Illinois,56
Europe,Indiana,18
Europe,Kentucky,40
Europe,Maryland,10
Europe,Massachusetts,89
Europe,Michigan,45
Europe,Minnesota,62
Europe,Missouri,31
Europe,Nebraska,15
Europe,New Hampshire,1
Europe,New Jersey,16
Europe,New York,244
Europe,North Carolina,68
Europe,North Dakota,7
Europe,Ohio,110
Europe,Oklahoma,11
Europe,Oregon,182
Europe,Pennsylvania,97
Europe,South Carolina,31
Europe,South Dakota,26
Europe,Tennessee,21
Europe,Virginia,6
Europe,Washington,882
Latin America/Caribbean,Alabama,1
Latin America/Caribbean,Arizona,2
Latin America/Caribbean,Arkansas,1
Latin America/Caribbean,California,181
Latin America/Caribbean,Colorado,5
Latin America/Caribbean,Connecticut,3
Latin America/Caribbean,Florida,56
Latin America/Caribbean,Georgia,35
Latin America/Caribbean,Illinois,1
Latin America/Caribbean,Indiana,6
Latin America/Caribbean,Iowa,2
Latin America/Caribbean,Louisiana,2
Latin America/Caribbean,Maryland,70
Latin America/Caribbean,Massachusetts,46
Latin America/Caribbean,Minnesota,11
Latin America/Caribbean,Nebraska,4
Latin America/Caribbean,Nevada,5
Latin America/Caribbean,New Jersey,32
Latin America/Caribbean,New York,19
Latin America/Caribbean,North Carolina,55
Latin America/Caribbean,Ohio,9
Latin America/Caribbean,Oklahoma,2
Latin America/Caribbean,Oregon,1
Latin America/Caribbean,Pennsylvania,2
Latin America/Caribbean,Rhode Island,4
Latin America/Caribbean,South Dakota,4
Latin America/Caribbean,Tennessee,19
Latin America/Caribbean,Texas,80
Latin America/Caribbean,Utah,2
Latin America/Caribbean,Virginia,64
Latin America/Caribbean,Washington,5
Latin America/Caribbean,Wisconsin,2
Near East/South Asia,Arizona,162
Near East/South Asia,California,204
Near East/South Asia,Colorado,60
Near East/South Asia,Connecticut,24
Near East/South Asia,Delaware,5
Near East/South Asia,Florida,33
Near East/South Asia,Georgia,159
Near East/South Asia,Idaho,30
Near East/South Asia,Illinois,64
Near East/South Asia,Indiana,3
Near East/South Asia,Iowa,60
Near East/South Asia,Kansas,20
Near East/South Asia,Kentucky,100
Near East/South Asia,Louisiana,1
Near East/South Asia,Maine,9
Near East/South Asia,Maryland,85
Near East/South Asia,Massachusetts,72
Near East/South Asia,Michigan,153
Near East/South Asia,Minnesota,31
Near East/South Asia,Missouri,29
Near East/South Asia,Nebraska,121
Near East/South Asia,Nevada,37
Near East/South Asia,New Hampshire,31
Near East/South Asia,New Jersey,34
Near East/South Asia,New Mexico,11
Near East/South Asia,New York,200
Near East/South Asia,North Carolina,116
Near East/South Asia,North Dakota,106
Near East/South Asia,Ohio,678
Near East/South Asia,Oregon,39
Near East/South Asia,Pennsylvania,298
Near East/South Asia,Rhode Island,7
Near East/South Asia,South Carolina,4
Near East/South Asia,South Dakota,65
Near East/South Asia,Tennessee,52
Near East/South Asia,Texas,193
Near East/South Asia,Utah,23
Near East/South Asia,Vermont,54
Near East/South Asia,Virginia,106
Near East/South Asia,Washington,37
Near East/South Asia,Wisconsin,20
