World Region,Country,target,value
East Asia,Burma,Alabama,1
East Asia,Burma,Arizona,58
East Asia,Burma,California,37
East Asia,Burma,Colorado,99
East Asia,Burma,Connecticut,5
East Asia,Burma,Florida,18
East Asia,Burma,Georgia,153
East Asia,Burma,Idaho,11
East Asia,Burma,Illinois,214
East Asia,Burma,Indiana,249
East Asia,Burma,Iowa,106
East Asia,Burma,Kansas,76
East Asia,Burma,Kentucky,102
East Asia,Burma,Louisiana,6
East Asia,Burma,Maryland,23
East Asia,Burma,Massachusetts,7
East Asia,Burma,Michigan,88
East Asia,Burma,Minnesota,292
East Asia,Burma,Missouri,46
East Asia,Burma,Nebraska,136
East Asia,Burma,New Hampshire,16
East Asia,Burma,New Jersey,5
East Asia,Burma,New York,187
East Asia,Burma,North Carolina,156
East Asia,Burma,Ohio,36
East Asia,Burma,Oklahoma,58
East Asia,Burma,Oregon,64
East Asia,Burma,Pennsylvania,28
East Asia,Burma,South Carolina,8
East Asia,Burma,South Dakota,23
East Asia,Burma,Tennessee,37
East Asia,Burma,Texas,361
East Asia,Burma,Utah,28
East Asia,Burma,Vermont,3
East Asia,Burma,Washington,52
East Asia,Burma,Wisconsin,232
Africa,Dem. Rep. Congo,Alabama,25
Africa,Dem. Rep. Congo,Arizona,455
Africa,Dem. Rep. Congo,Arkansas,33
Africa,Dem. Rep. Congo,California,95
Africa,Dem. Rep. Congo,Colorado,100
Africa,Dem. Rep. Congo,Connecticut,76
Africa,Dem. Rep. Congo,Delaware,7
Africa,Dem. Rep. Congo,Florida,215
Africa,Dem. Rep. Congo,Georgia,194
Africa,Dem. Rep. Congo,Idaho,177
Africa,Dem. Rep. Congo,Illinois,158
Africa,Dem. Rep. Congo,Indiana,95
Africa,Dem. Rep. Congo,Iowa,197
Africa,Dem. Rep. Congo,Kansas,159
Africa,Dem. Rep. Congo,Kentucky,438
Africa,Dem. Rep. Congo,Louisiana,4
Africa,Dem. Rep. Congo,Maine,40
Africa,Dem. Rep. Congo,Maryland,74
Africa,Dem. Rep. Congo,Massachusetts,95
Africa,Dem. Rep. Congo,Michigan,232
Africa,Dem. Rep. Congo,Minnesota,67
Africa,Dem. Rep. Congo,Mississippi,2
Africa,Dem. Rep. Congo,Missouri,203
Africa,Dem. Rep. Congo,Montana,58
Africa,Dem. Rep. Congo,Nebraska,30
Africa,Dem. Rep. Congo,Nevada,81
Africa,Dem. Rep. Congo,New Hampshire,69
Africa,Dem. Rep. Congo,New Jersey,38
Africa,Dem. Rep. Congo,New Mexico,30
Africa,Dem. Rep. Congo,New York,388
Africa,Dem. Rep. Congo,North Carolina,326
Africa,Dem. Rep. Congo,North Dakota,42
Africa,Dem. Rep. Congo,Ohio,301
Africa,Dem. Rep. Congo,Oklahoma,3
Africa,Dem. Rep. Congo,Oregon,67
Africa,Dem. Rep. Congo,Pennsylvania,222
Africa,Dem. Rep. Congo,Rhode Island,39
Africa,Dem. Rep. Congo,South Carolina,48
Africa,Dem. Rep. Congo,South Dakota,24
Africa,Dem. Rep. Congo,Tennessee,141
Africa,Dem. Rep. Congo,Texas,565
Africa,Dem. Rep. Congo,Utah,140
Africa,Dem. Rep. Congo,Vermont,64
Africa,Dem. Rep. Congo,Virginia,129
Africa,Dem. Rep. Congo,Washington,17
Africa,Dem. Rep. Congo,Wisconsin,48
Latin America/Caribbean,El Salvador,Alabama,1
Latin America/Caribbean,El Salvador,California,162
Latin America/Caribbean,El Salvador,Colorado,5
Latin America/Caribbean,El Salvador,Florida,27
Latin America/Caribbean,El Salvador,Georgia,31
Latin America/Caribbean,El Salvador,Indiana,6
Latin America/Caribbean,El Salvador,Iowa,2
Latin America/Caribbean,El Salvador,Maryland,69
Latin America/Caribbean,El Salvador,Massachusetts,41
Latin America/Caribbean,El Salvador,Minnesota,10
Latin America/Caribbean,El Salvador,Nebraska,4
Latin America/Caribbean,El Salvador,Nevada,4
Latin America/Caribbean,El Salvador,New Jersey,16
Latin America/Caribbean,El Salvador,New York,12
Latin America/Caribbean,El Salvador,North Carolina,48
Latin America/Caribbean,El Salvador,Ohio,9
Latin America/Caribbean,El Salvador,Oregon,1
Latin America/Caribbean,El Salvador,Pennsylvania,2
Latin America/Caribbean,El Salvador,Rhode Island,1
Latin America/Caribbean,El Salvador,South Dakota,4
Latin America/Caribbean,El Salvador,Tennessee,7
Latin America/Caribbean,El Salvador,Texas,69
Latin America/Caribbean,El Salvador,Utah,2
Latin America/Caribbean,El Salvador,Virginia,60
Latin America/Caribbean,El Salvador,Washington,5
Africa,Somalia,Alabama,3
Africa,Somalia,Arizona,10
Africa,Somalia,Colorado,6
Africa,Somalia,Georgia,4
Africa,Somalia,Illinois,5
Africa,Somalia,Indiana,4
Africa,Somalia,Kansas,11
Africa,Somalia,Kentucky,9
Africa,Somalia,Maine,6
Africa,Somalia,Massachusetts,6
Africa,Somalia,Michigan,3
Africa,Somalia,Minnesota,80
Africa,Somalia,Missouri,8
Africa,Somalia,Nebraska,5
Africa,Somalia,New Hampshire,8
Africa,Somalia,New York,2
Africa,Somalia,North Carolina,1
Africa,Somalia,Ohio,11
Africa,Somalia,Pennsylvania,1
Africa,Somalia,Rhode Island,1
Africa,Somalia,South Dakota,8
Africa,Somalia,Tennessee,4
Africa,Somalia,Texas,9
Africa,Somalia,Utah,17
Africa,Somalia,Virginia,2
Africa,Somalia,Washington,9
Africa,Somalia,Wisconsin,17
