,Month,Country,value
54,April,Near East/South Asia,299
30,April,Europe,338
18,April,East Asia,515
6,April,Africa,1478
42,April,Latin America/Caribbean,23
46,August,Latin America/Caribbean,63
58,August,Near East/South Asia,326
10,August,Africa,1670
22,August,East Asia,537
34,August,Europe,762
38,December,Latin America/Caribbean,57
26,December,Europe,293
50,December,Near East/South Asia,74
14,December,East Asia,224
2,December,Africa,1074
28,February,Europe,216
40,February,Latin America/Caribbean,81
4,February,Africa,1335
52,February,Near East/South Asia,160
16,February,East Asia,425
27,January,Europe,203
15,January,East Asia,225
39,January,Latin America/Caribbean,36
3,January,Africa,933
51,January,Near East/South Asia,60
21,July,East Asia,537
33,July,Europe,635
57,July,Near East/South Asia,454
9,July,Africa,1690
45,July,Latin America/Caribbean,122
32,June,Europe,473
20,June,East Asia,572
56,June,Near East/South Asia,273
44,June,Latin America/Caribbean,94
8,June,Africa,1797
41,March,Latin America/Caribbean,88
29,March,Europe,298
17,March,East Asia,568
5,March,Africa,1476
53,March,Near East/South Asia,346
31,May,Europe,324
55,May,Near East/South Asia,341
19,May,East Asia,520
43,May,Latin America/Caribbean,57
7,May,Africa,2000
37,November,Latin America/Caribbean,39
25,November,Europe,407
13,November,East Asia,346
1,November,Africa,1251
49,November,Near East/South Asia,107
0,October,Africa,1059
36,October,Latin America/Caribbean,28
24,October,Europe,356
12,October,East Asia,318
48,October,Near East/South Asia,73
47,September,Latin America/Caribbean,121
35,September,Europe,689
23,September,East Asia,243
11,September,Africa,603
59,September,Near East/South Asia,288
